Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Persecution","নিপীড়ন / নির্মম অত্যাচার / নির্যাতন","Oppression, victimization, harassment, torture, tyranny","Protection, safety, liberation, tolerance","Hostility and ill-treatment, especially because of race or political or religious beliefs.","[Unit 5: Lesson 1]: Article 14: (1) Everyone has the right to seek and to enjoy in other countries asylum from persecution.
[Unit 4: Lesson 3]: Article 14: (1) Everyone has the right to seek and to enjoy in other countries asylum from persecution.","Unit 5: Lesson 1 (Are We Aware of These Rights-I?)"
"Intuitive","সহজাত / স্বজ্ঞাত / আত্মিক বোধসম্পন্ন","Instinctive, spontaneous, innate, perceptive","Calculated, reasoned, deliberate, analytical","Using or based on what one feels to be true without conscious reasoning.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Subjective","আত্মগত / ব্যক্তিগত অনুভূতি ও দৃষ্টিভঙ্গিভিত্তিক","Personal, individual, idiosyncratic, intuitive","Objective, impartial, empirical, universal","Based on or influenced by personal feelings, tastes, or opinions.","Unit Six: Dreams Lesson 1 What is a Dream?","Unit 6: Lesson 1 (What is a Dream?)"
"Glorious","মহিমান্বিত / গৌরবময়","Magnificent, splendid, illustrious, celebrated","Inglorious, shameful, obscure, modest","Having, worthy of, or bringing fame or admiration.","[Unit 2: Art and Craft: Craft]: Some of you who live outside Sonargaon Upazila in the district of Narayanganj, may have visited the ancient township with its Folk Arts and Crafts Museum set up by the famous artist Zainul Abedin in 1975, and a number of old buildings which speak of a glorious past.
[Unit 12: Lesson 1]: The report says that the river had a glorious past.","Unit 2: Art and Craft: Craft"
"Conservation","সংরক্ষণ / সুরক্ষা","Preservation, safeguarding, upkeep, protection, maintenance","Destruction, demolition, devastation, degradation","The protection of animals, plants, natural resources, and habitats from decay or loss.","[Unit 4: Lesson 3]: She received that honour in 2004 as the founder of the Green Belt Movement in Kenya, a nonprofit organization dedicated to planting trees, environmental conservation, and women's rights.
[Unit 4: Great Women: Pioneers of Education & Science]: She received that honour in 2004 as the founder of the Green Belt Movement in Kenya, a nonprofit organization dedicated to planting trees, environmental conservation, and women's rights.","Unit 4: Lesson 3 (Great Women)"
"Wellbeing","সুস্থতা / সার্বিক কল্যাণ ও মঙ্গলজনক অবস্থা","Welfare, prosperity, health, happiness, flourishing","Misery, suffering, hardship, despair","The state of being comfortable, healthy, or happy.","Unit Five: Human Rights | Lesson 3: Rights to Health and Education A.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Puberty","বয়ঃসন্ধিকাল / যৌবনারম্ভ","Adolescence, maturation stage, sexual maturity","Adulthood, infancy, childhood","The period during which adolescents reach sexual maturity and become capable of reproduction.","Biological processes drive many aspects of this growth and development with the onset of puberty marking the passage from childhood to adolescence.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Underprivileged","সুবিধাবঞ্চিত / অনুন্নত পটভূমির","Disadvantaged, needy, impoverished, deprived","Privileged, affluent, wealthy, favored","Not enjoying the same standard of living or rights as the majority of people in a society.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Activism","সক্রিয় সামাজিক আন্দোলন / অধিকার আদায়ের প্রয়াস","Advocacy, campaigning, engagement, grassroots reform","Passivity, apathy, lethargy, inaction","The policy or action of using vigorous campaigning to bring about political or social change.","[Unit 5: Lesson 2]: social activism viii.
[Unit 4: Lesson 3]: social activism viii.","Unit 5: Lesson 2 (Are We Aware of These Rights-II?)"
"Adversities","প্রতিকূলতা / জীবনের কঠিন প্রতিবন্ধকতা ও দারিদ্র্য","Hardships, misfortunes, obstacles, tribulations, distress","Privileges, fortunes, prosperity","Difficulties or misfortunes.","What made them win against all adversities then?","Unit 7: Lesson 3 (The Unbeaten Girls)"
"Magnificent","জমকালো / গৌরবমণ্ডিত ও রাজকীয়","Grand, splendid, glorious, majestic, noble","Pathetic, unimpressive, modest","Extremely beautiful, elaborate, or impressive.","The orphanage is high in the Carolina mountains.","Unit 8: Lesson 3 (A Mother in Mannville)"
"Instinctive","সহজাত / স্বতঃস্ফূর্ত","Innate, intuitive, natural, inborn","Learned, acquired, deliberate, calculated","Relating to or prompted by instinct; done without conscious thought.","Thank you"" was, perhaps, an expression for which he had had no use, for his courtesy was instinctive.","Unit 8: Relationships: A Mother in Mannville"
"Neonatal","নবজাতক সংক্রান্ত","Newborn, infant, natal, baby","Adult, maternal, elderly","Relating to newborn children.","Moreover, neonatal mortality is another concern for younger mothers.","Unit 9: Adolescence: Adolescence and Some (Related) Problems in Bangladesh"
"Sociological","সমাজতাত্ত্বিক / সামাজিক কাঠামো সংক্রান্ত","Social, societal, communal, collective","Individual, psychological, solitary","Concerning the development, structure, and functioning of human society.","As it has economic impacts, it has psychological, sociological, or geographical impacts too.","Unit 11: Peace and Conflict: Situations of Conflict"
